cityId,cityName,neighborhoodId,neighborhoodName,area
874,מגדל העמק,65211133,אזור תעשיה רמת גבריאל צפון,צפון מגדל העמק
874,מגדל העמק,65210620,רמת אשכול,צפון מגדל העמק
874,מגדל העמק,65210621,יערת העמק,צפון מגדל העמק
874,מגדל העמק,65210622,רמת בלפור,צפון מגדל העמק
874,מגדל העמק,65210718,גן ישראל,צפון מגדל העמק
874,מגדל העמק,65210719,שלום עליכם,צפון מגדל העמק
874,מגדל העמק,65210747,פנינת העמק,צפון מגדל העמק
874,מגדל העמק,65211101,נוף העמק,מרכז מגדל העמק
874,מגדל העמק,65211130,מגדל אור,מרכז מגדל העמק
874,מגדל העמק,65211134,קרית רבין,מרכז מגדל העמק
874,מגדל העמק,65211129,מצפה העמק,דרום מגדל העמק
874,מגדל העמק,65211135,הורד,דרום מגדל העמק
874,מגדל העמק,65211136,פנחס ספיר,דרום מגדל העמק
