cityId,cityName,neighborhoodId,neighborhoodName,area
1200,מודיעין-מכבים-רעות,65210173,מרכז עינב,מרכז
1200,מודיעין-מכבים-רעות,65210174,מכבים,מרכז
1200,מודיעין-מכבים-רעות,65210175,רעות,מרכז
1200,מודיעין-מכבים-רעות,65210176,מוריה,מרכז
1200,מודיעין-מכבים-רעות,65210182,מורשת - תכנון בעתיד,שכונות חדשות ופרוייקטים עתידיים
1200,מודיעין-מכבים-רעות,65210177,השבטים,שכונות צפוניות וצמודות לטבע
1200,מודיעין-מכבים-רעות,65210178,משואה,שכונות צפוניות וצמודות לטבע
1200,מודיעין-מכבים-רעות,65210180,הציפורים,שכונות צפוניות וצמודות לטבע
1200,מודיעין-מכבים-רעות,65210181,נופים,שכונות צפוניות וצמודות לטבע
1200,מודיעין-מכבים-רעות,65210183,אבני חן,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210184,הנחלים,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210185,הפרחים,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210186,המגינים,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210187,הנביאים,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210188,הכרמים,שכונות דרומיות ומגורים
1200,מודיעין-מכבים-רעות,65210189,הפארק הטכנולוגי,אזור תעשייה וטכנולוגיה
