cityId,cityName,neighborhoodId,neighborhoodName
6400,הרצליה,65209682,יד התשעה
6400,הרצליה,65209690,נווה ישראל
6400,הרצליה,65209691,הרצליה הצעירה
6400,הרצליה,65209692,גני הרצליה
6400,הרצליה,65209714,הרצליה פיתוח
6400,הרצליה,65209728,וייצמן
6400,הרצליה,65209729,הרצליה ב
6400,הרצליה,65209895,נווה עמל
6400,הרצליה,65209896,מרכז העיר
6400,הרצליה,65210145,גן רש"ל
6400,הרצליה,65210146,הרצליה הירוקה
6400,הרצליה,65210149,גורדון
6400,הרצליה,65210151,צמרות
6400,הרצליה,65210212,נוף ים
6400,הרצליה,65210213,אזור תעשיה
6400,הרצליה,65210730,נחלת עדה
6400,הרצליה,65210745,נווה אמירים
