cityId,cityName,neighborhoodId,neighborhoodName
70,אשדוד,65209648,רובע ד
70,אשדוד,65209662,רובע א
70,אשדוד,65209663,רובע ב
70,אשדוד,65209751,רובע ה
70,אשדוד,65209771,רובע י"א
70,אשדוד,65209801,רובע ו
70,אשדוד,65209802,רובע סיטי
70,אשדוד,65209812,רובע ט"ו
70,אשדוד,65209814,רובע י"ג
70,אשדוד,65209820,רובע מיוחד
70,אשדוד,65209828,רובע י
70,אשדוד,65209831,רובע י"ב
70,אשדוד,65209840,רובע ט
70,אשדוד,65209853,רובע ח
70,אשדוד,65209858,מרינה
70,אשדוד,65209868,רובע ז
70,אשדוד,65209876,רובע ג
70,אשדוד,65209983,רובע י"ז
70,אשדוד,65209984,רובע ט"ז
70,אשדוד,65210013,הקריה מע"ר
70,אשדוד,65210071,בקמה
70,אשדוד,65210072,אזור תעשיה כבדה
70,אשדוד,65210073,אזור תעשיה הצפוני
