cityId,cityName,neighborhoodId,neighborhoodName
6900,כפר סבא,65209675,אזור תעשיה הישן
6900,כפר סבא,65209676,הפארק
6900,כפר סבא,65209684,גאולים
6900,כפר סבא,65209712,הירוקה כ"ס 80
6900,כפר סבא,65209715,צפון
6900,כפר סבא,65209716,קפלן
6900,כפר סבא,65209719,ותיקים
6900,כפר סבא,65209720,מרכז
6900,כפר סבא,65209721,שיכוני מזרחי
6900,כפר סבא,65209722,דובדבן הכפר
6900,כפר סבא,65209942,עלייה
6900,כפר סבא,65209943,סביוני הכפר
6900,כפר סבא,65209944,אליעזר
6900,כפר סבא,65209945,למפרט
6900,כפר סבא,65209946,קרית ספיר
6900,כפר סבא,65209947,תקומה
6900,כפר סבא,65209948,ראשונים
6900,כפר סבא,65209949,הפרחים
6900,כפר סבא,65209950,אזור תעסוקה צומת רעננה
6900,כפר סבא,65209951,גבעת אשכול
6900,כפר סבא,65209952,בית ונוף
6900,כפר סבא,65209953,יוספטל
6900,כפר סבא,65209954,הדרים
6900,כפר סבא,65209955,גני השרון
6900,כפר סבא,65209968,ארלוזורוב
6900,כפר סבא,65210147,שבזי
6900,כפר סבא,65210148,הזמר העברי
6900,כפר סבא,65210193,אלי כהן
6900,כפר סבא,65210197,כפר סבא הצעירה
6900,כפר סבא,65210198,מוצקין
6900,כפר סבא,65210199,כיסופים
6900,כפר סבא,65210200,מזרחי א
6900,כפר סבא,65210201,עובד בן ציון
6900,כפר סבא,65210202,פועלים ב
6900,כפר סבא,65210203,סירקין
6900,כפר סבא,65210205,פועלים ד
6900,כפר סבא,65210206,ארלוזורוב
6900,כפר סבא,65210207,פועלים א
6900,כפר סבא,65210208,אזור תעשיה עתיר ידע
6900,כפר סבא,65210720,חצרות הדר
6900,כפר סבא,65210729,חלוצים
6900,כפר סבא,65210764,מעוז
