cityId,cityName,neighborhoodId,neighborhoodName,area
2100,טירת כרמל,65210956,אזור תעשיה,אזור תעשייה
2100,טירת כרמל,65210760,גיורא,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210957,נאות כרמל,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210958,ביאליק,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210959,שז"ר/דקר,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210983,כלניות,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210984,עמידר,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210985,מעלה נוף,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210986,נווה אליאס,שכונות מרכזיות ומגורים
2100,טירת כרמל,65210987,רמב"ם,שכונות חדשות ופיתוחים
2100,טירת כרמל,65210988,רמת בגין,שכונות חדשות ופיתוחים
2100,טירת כרמל,65210989,כהן,שכונות חדשות ופיתוחים
2100,טירת כרמל,65210990,בן צבי,שכונות חדשות ופיתוחים
2100,טירת כרמל,65210991,איילת הכרמל,שכונות חדשות ופיתוחים
