cityId,cityName,neighborhoodId,neighborhoodName,area
2630,קריית גת,65209986,אזור תעשיה,אזור תעשייה ומסחר
2630,קריית גת,65210011,אזור המלאכה,אזור תעשייה ומסחר
2630,קריית גת,65209985,בני ישראל,שכונות מרכזיות ומגורים
2630,קריית גת,65209995,כרמי גת,שכונות מרכזיות ומגורים
2630,קריית גת,65209996,רמות דוד,שכונות מרכזיות ומגורים
2630,קריית גת,65209997,הבנים,שכונות מרכזיות ומגורים
2630,קריית גת,65209998,שער הדרום,שכונות מרכזיות ומגורים
2630,קריית גת,65209999,ההעפלה,שכונות מרכזיות ומגורים
2630,קריית גת,65210000,מגדים,שכונות מרכזיות ומגורים
2630,קריית גת,65210001,צה"ל,שכונות מרכזיות ומגורים
2630,קריית גת,65210002,אתרי המקרא,שכונות מרכזיות ומגורים
2630,קריית גת,65210003,החורש,שכונות מרכזיות ומגורים
2630,קריית גת,65210004,פ"ז,שכונות מרכזיות ומגורים
2630,קריית גת,65210005,מלכי ישראל,שכונות מרכזיות ומגורים
2630,קריית גת,65210006,השופטים,שכונות מרכזיות ומגורים
2630,קריית גת,65210007,הפרחים,שכונות מרכזיות ומגורים
2630,קריית גת,65210008,הנביאים,שכונות מרכזיות ומגורים
2630,קריית גת,65210009,גליקסון,שכונות מרכזיות ומגורים
2630,קריית גת,65210012,הקוממיות,שכונות מרכזיות ומגורים
