cityId,cityName,neighborhoodId,neighborhoodName
2610,בית שמש,65209772,נווה ספיר
2610,בית שמש,65209777,גבעת שרת
2610,בית שמש,65209784,קרית אריה שיינפלד
2610,בית שמש,65209795,קרית בן אליעזר
2610,בית שמש,65209796,בית ומנוחה
2610,בית שמש,65209815,קנה הבושם
2610,בית שמש,65209822,גבעת סביון
2610,בית שמש,65210871,אזור תעשיה צפוני
2610,בית שמש,65210872,פסגת השבע
2610,בית שמש,65210873,מרכז העיר
2610,בית שמש,65210875,רמת בית שמש ג
2610,בית שמש,65210876,שז"ר
2610,בית שמש,65210906,רמת בית שמש א
2610,בית שמש,65210908,רמת נריה
2610,בית שמש,65210909,רמת בית שמש ב
