cityId,cityName,neighborhoodId,neighborhoodName
9000,באר שבע,65210105,רמות
9000,באר שבע,65210106,א
9000,באר שבע,65210107,ה
9000,באר שבע,65210108,ו
9000,באר שבע,65210109,יא
9000,באר שבע,65210110,ב
9000,באר שבע,65210111,ג
9000,באר שבע,65210112,נווה מנחם
9000,באר שבע,65210113,ד
9000,באר שבע,65210114,נחל בקע
9000,באר שבע,65210115,נווה נוי
9000,באר שבע,65210116,עיר עתיקה
9000,באר שבע,65210117,נאות לון
9000,באר שבע,65210118,נווה זאב
9000,באר שבע,65210119,ט
9000,באר שבע,65210120,מרכז אזרחי
9000,באר שבע,65210121,רמות הרכס
9000,באר שבע,65210123,עמק שרה
9000,באר שבע,65210124,אזור תעשיה
9000,באר שבע,65210728,פלח שבע
