cityId,cityName,neighborhoodId,neighborhoodName
6100,בני ברק,65209642,נוה אחיעזר
6100,בני ברק,65209664,שיכון ההסתדרות
6100,בני ברק,65209665,קרית נדבורנא
6100,בני ברק,65209706,קרית הרצוג
6100,בני ברק,65209708,פרדס כץ
6100,בני ברק,65209709,תל גיבורים
6100,בני ברק,65209737,קרית הישיבה
6100,בני ברק,65209740,קרית ויז'ניץ
6100,בני ברק,65209757,אהרונוביץ- סוקולוב
6100,בני ברק,65209758,גבעת רוקח
6100,בני ברק,65209763,שיכון ה
6100,בני ברק,65209764,גבעת סוקולוב
6100,בני ברק,65209765,הר שלום
6100,בני ברק,65209767,הפועל המזרחי א
6100,בני ברק,65209769,רמת אלחנן
6100,בני ברק,65209782,רמת אהרון
6100,בני ברק,65209783,הפועל המזרחי ד
6100,בני ברק,65210214,אזור תעשיה צפון
6100,בני ברק,65210565,אזור תעשיה
6100,בני ברק,65210566,נחלת שמעון
