cityId,cityName,neighborhoodId,neighborhoodName
8400,רחובות,65210746,קריית דוד
8400,רחובות,65210866,רחובות הצעירה
8400,רחובות,65210867,וייסגל
8400,רחובות,65210868,קרית משה
8400,רחובות,65210869,סלע
8400,רחובות,65210870,רחובות ההולנדית
8400,רחובות,65210895,אבן גבירול
8400,רחובות,65210896,גינות סביון
8400,רחובות,65210897,נווה עמית
8400,רחובות,65210898,פארק תמר
8400,רחובות,65210899,נווה יהודה
8400,רחובות,65210900,מרמורק
8400,רחובות,65210901,גבעתי
8400,רחובות,65210902,חבצלת
8400,רחובות,65210903,רחובות החדשה
8400,רחובות,65210904,אושיות
8400,רחובות,65210905,קריית ההגנה
8400,רחובות,65210929,היובל
8400,רחובות,65210930,דניה
8400,רחובות,65210931,שעריים
8400,רחובות,65210932,מתחם התחנה המרכזית
8400,רחובות,65210933,נווה אלון
8400,רחובות,65210934,בנימין\ נורדאו
8400,רחובות,65210935,וייסבורג\ שקולניק
8400,רחובות,65210936,אבני חן
8400,רחובות,65210937,אזורי ויצמן
8400,רחובות,65210938,החלוץ\ העבודה
8400,רחובות,65210939,מילר\ מלצר
8400,רחובות,65210940,אייזנבר\ אהרוני
8400,רחובות,65210941,יחד
8400,רחובות,65210965,רחובות המדע
8400,רחובות,65210966,אחוזת הנשיא
8400,רחובות,65210967,מכון ויצמן
